,Name,Bio
@Olaiw0la,'Lai,I am what The Word says I am | http://livingwordmedia.org | Cover The Earth!!! Developer Advocate | ex @Google Dev Community Manager| Opinions are strictly mine
@scottweisman,Scott Weisman,I build things. Co-founder of @launchpadlab & @warroomlaw . Former lawyer.
@itbeckons,becky,"thinker/sailor/cold here/wry. tweets = tech, psych, travel, mindfulness, my pup, and the life aquatic."
@iamlarryjames,LJ,"Google Cloud for Startups ( @googlecloud ), formerly at Andreessen Horowitz ( @a16z ), #SummerStartupSeries, #TexasForever, #SandHillRoadSong"
@donipriliandi,Doni Priliandi,in love with @shelviahendoro + Favor + Skye. Joyful Founder of Happy5 (Building + Scaling High Performance Culture with Human-Friendly Solution).
@flobamberg,Florian Bamberg,"If you can’t ride two elephants at the same time, what are you doing at the circus? Nachrichtenchef bei @dpaAFX DMs sind offen"
@HerstonElton,HerstonP,Southeast Asia VC Investor Fintech and Tech
@RickyAudet,Rick Audet,"Software engineering @dolby with interests in DSP, C, C++, Java, OOP, FP, real-time, concurrency, Scala, Erlang, Elixir, Haskell, whisk(e)y and heavy metal \m/"
@asperised,Nitesh Agarwal,Maker | Aeromodeller | Geek
@michaelhood,Michael Hood,"optimizing. i think about things a lot: #webperf, CDNs, Edge compute. #perfmatters"
@Benjaming_G,Benjamin Gowan,"Anxious optimist. #rstats, #eval, stats, cognitive science, finance, politics, nutrition."
@2N2L,Brendan Munnelly,"Prose, code and pixels."
@sprayandpray4,sprayandpray,
@JonnyLCRA,Jonny Clark,Helping to build top teams that build top products @lcractivate • Previously @liverpoollep researcher and @livunigeog graduate. BJJ Purple belt.
@TheMolloy07,Jude Molloy,Computer Science Student @EdinburghUni Email: judemolloybusiness@outlook.com
@EnthusiastSea,Sea Salt Enthusiast,Decentralizing power makes strange bedfellows. Stack sats.
@ReeseKunz,Reese Kunz,@LambdaSchool full-stack web developer (WEB21) | @chipotletweets enthusiast
@MarshallRK,Marshall R. Knauf,"Head of Integrations + Data @Cloudbeds , policy, history, & market junkie. Occasionally I have a halfway decent joke, but don't hold me to it."
@nmcwilli,Neil McWilliam,
@noeldykes,Noel Dykes,"Founder @Franklihq . Passionate about the intersections of great design, people and business. We're hiring https://frankli.workable.com/jobs/1085014"
@bukhosiedwardjr,Bukhosi Edward jr,I ask not for more riches but for more wisdom with which to make wiser use of the riches you gave me @ birth. International Taxation and Enteprenuership.
@unosusanto,Uno Susanto,"building @startupladder • user acquisition @davesavesyou • previously @oracle @usc • early-stage VC, consumer startups and everything bagels #LongLA"
@kevinbrazel,Kevin.,"Usually can be found floating about on the water. If not there, tackling growth @Hootsuite"
@EazyLearningDVD,EasyLearningDVDs,"Learn from broadcast-quality production methods and leading accredited authors, These DVD & Downloads tutorials really do rival classroom-based training courses"
@4eek,Kevin Fourie,Building tools to support an Open Knowledge Commons Society. PGP C312 5FD2 F40B BDA7 CFB1  7DAF 9D70 8096 EC9C 7331
@on_stash,Santosh Venkatraman,Product engineer | Health & fitness fanatic | Products | Theatre/Drama
@manasque,Manas,Writes http://manas.me Draws http://art.manas.me Uses Python to automate work. Tests #vSAN for fun and profit.
@swiftaks,Akshay Tajbije,Racer | Design Thinker | Artist | Dreamer | Animal Lover Also into UX & Service Design. Die hard F1 fan. Scuderia Ferrari runs in my blood. Views personal.
@missdupuis13,Miss Dupuis,just a first grade teacher trying to teach tiny humans to be good people #clearthelist #donorschoose #shrinkthelist #choosekind #firstgrade
@RAISETHECAT21,Dan Deren,https://youtube.com/watch?v=giJCL_jhnsE&has_verified=1…
@dimfeld,Daniel Imfeld,"Christian, father of two, co-founder and backend/data lead at @carevoyance"
@davidgshort,David Short,Product Manager @Wayfair | formerly Payments @OliverWyman
@HadenMoore,Haden Moore,Data Science (DS6) @LambdaSchool || Instagram: HadenMoore || Isaiah 41:10 Pro 2A
@BrandtAWitt,Brandt,"Hoya, Client Success @fiscalnote , rower turned cyclist"
@bhwaldman,Brett Waldman,"Always tinkering with and learning new stuff, best part of my job. Work at Citrix. Tweets in no way reflect Citrix or myself"
@vswami2012,Swami Vaithi,
@BonesofKipling,DarceKnight,"Software toucher, BJJ"
@aaronclark_,Aaron Clark,"Web Developer, formerly Botany Coffee and other caffeinated ventures. Interested in various things."
@bentonheimsath,Benton Heimsath,"Focus on affordable housing and housing affordability. @liifund by day, YIMBY in my spare time. Follow me here: http://bentonheimsath.substack.com"
@deblasiomedia,DeBlasio New Media,"Times change. We help your business grow with the times. We improve website conversions, use social to generate new business & get your biz found on Google."
@cvmcgs,Luis,learning full stack web Dev at @LambdaSchool http://github.com/cvlopes88 #cryptolover #btc stalker
@BrandonMaseda,Brandon Maseda,"Entrepreneur, Traveler, Explorer - Former founder of theLIFT (acquired) by WithMe (with.me) now building a Visual Intelligence (VI) at Accel Robotics (AR)"
@asymmetric_boy,Mar Qus,
@MasterScrat,Florian Laurent,"Deep Reinforcement Learning - Timelapse Photography - Running - @EPFL Alumni - Freelancer, current job: writing a DRL course"
@faicalallou,Faical Allou,Travel and data nerd @trivago
@kshitijpan,Kshitij Pandey,"Designer at Zeta, traveller, trivia hunter"
@muy_buenno,Shyaka,"Human lover, Software builder, meme connoisseur, Hi"
@nikleger,Nikola Leger,"building a new distributed economy for business owners, entrepreneurs & marketers | trend spotter | pet wrangler & dating a barrel racer| #GrowthasaService"
@ajjai,Ajay Agrawal,"Avid Learner, Startup Enthusiast, Appreneur, Passionately Curious, Alice in Wonderland"
@jscaseddon,Jessica Seddon,"Director, Integrated Urban Strategy, WRI, Non-Resident Fellow, CSIS (DC), Founder, Okapi (India). Hoping our species shapes up in time. Tweets mine & only mine."
@ismaeltechnow,Ismael,Coder. Mentor. Advocate. Digital Media. @UTRGV alum. @code2040 #techtrek alum. they/them #RGV #BLM #WebDev #Android #teamPixel
@_kaydelrosario,Kay del Rosario,
@__njoku,Osi Njoku,Software Engineer
@ryanam26,Ryan Morrison,Passionate about entrepreneurship & early stage startups.
@JenVermet,Jen Vermet,On a journey to become a learn-it-all! I can most likely be found asking too many questions and striving to continually think in a growth mindset.
@alvinloh0,Alvin Loh,"Sold my company, now angel investing and doing healthcare stuff. Opinions here are my own."
@superbeinglabs,Super Being,We’re designing an awesome future for humanity. Super Being Labs | Super Being Arts | Super Being School (coming soon)
@ChefLins50,Andrew,Here for some laughs #GoPackGo
@RCThomas_,Rob Thomas,"technical pm @cbinsights , comp sci adjunct prof @stjohnsu , operations research alum @columbia , physics/math alum @stjohnsu , siberian husky dad @ home"
@andrewjones_dev,Andrew Jones,"startup CTO, engineer. JS, security, accessibility, cryptography, neuroscience. views my own or borrowed, not my employer’s. they / them"
@thegrossery,Harrison,"oft overlooked notes to self. finance, philosophy, relationships, and real life experience."
@BThomas2011,Brandon,"Sales engineer currently, but a marketer at heart // Lover of video games, food, and music // // Currently @Meltwater"
@ucefkh,Youssef KH,"http://01TEK.com Online Learning platform, http://EmbedAPI.com Senior web/mobile/blockchain developer with +11 years of experience."
@PalmR77,Not You,I like to bullshit my way through things.
@rupakanto,Rupak Anto,Product Management @retailcloud . Love to learn and talk about #data #design #api #ux ... #travel #photography
@davidzeee,DZ,in SF | Product & Builder @Netflix | Passionate about The Future of Work
@AlexHermstad,Alexander Hermstad,"Musician | Writer | Creator hyper-dimensional quantum-imaginal trickster Here to help you hack your imagination for love, health, wealth, and wisdom"
@derkmarseille,Derk Marseille,Content activator boosting business success in Germany #podcast @HTGF #DeepDive @nlnachrichten @FridayatSix @dld_nieuws @BNR
@crazyjack12,Jack,Proud Dad | Lead Software Engineer | #Serverless | open source contributer | #gopher | @twitchdev Extensions developer | #100DaysOfCode | @greenmangaming
@blackbabatweet,Amrinder Dhindsa,Salvation lies within
@rmbalt,Rafael Bulsing,"23 y.o. nerdy searching for weird, well-reasoned takes. Expect tweets about: hair, capybaras and puns. PT-BR feed: @rafabulsing"
@somtonweke4,Somto,
@JCorneliusBuie,Buie,"Between my atheism, my antitheism, and my Cleveland sports fandom, it's a wonder I'm not a complete nihilist... yet."
@STHoward,Scott Howard,"F(o)unding @ Stealth Venture Lab. Past : Mars Accelerator, @ZXventures , @Chobani Incubator. + : founders @backstage_cap , @terraccelerator @venturinghoyas"
@siti_kamala,catherine anderson,i am catherine from libya
@MikeJDombrowski,Mike D,Consigliere - Angel Investor(pre-/seed/Series A) - Capital Markets And in this corner standing 6 feet...
@VIC3_DOIT,Full stack hustler,"Passionate about people and products. @andela Alumnus, Full-stack hustler/Product Manager @punterclash . Tweets === personal."
@kevholler,Kevin Holler,"Entrepreneur, ex-founder, full-stack developer and aspiring Data Scientist. DACH Alliances Manager @fivetran . Investor @Bamboo_IE , @helloblanconino ."
@JoelOvalleH,Joey,Estudiante. Antifujimorista. Futuro programador. *Just trying to fit in this world*. #Codenewbie
@amelnychuck,Alex Melnychuck,"Healthcare Innovator | iOS Developer | UI/UX Designer | Jazz Trumpet | Lead iOS Architect @Mckesson | Previous: @SunquestInfoSys , @LifeHealthDiary , @RadikalApps"
@were_thought,ThoughtYouWereDead,Ebook Methuselah. Bringing an old name back soon. #pulprev Little dogs are manly. Fite me if you disagree.
@syzdykov,𝕖𝕝𝕕𝕒𝕣,
@jamesxbase,James Base,"learning @samsarahq . previously @sap , @duckduckgo . proudly @templeuniv made."
@chrisdavidmiles,â€™Chrisâ€™,I like pasta. I'm a Product Manager for @bluehost and work on #WordPress for fun. #a11y matters. | PGP: 0471 E258 8E1A DBDA 9034 1EFD A686 AD2C 7AB0 7D97
@Cribdilla,Kevin Clark,Dad of two. Spouse of one. Sometime crossfitter and triathlete. Chicago boy at heart but always a New Yorker. #revolutionizingrentals
@tmaxtallent,Travis Tallent,
@dharmaone,Jouni Helminen,"design, machine learning, music"
@KrAbhinavGupta,Abhinav Kr. Gupta,Making Automation Smarter with AI powered Video Analytics. Entrepreneur @Silversparro . I Love building interesting stuff.
@ariel_bendavid,Ariel Bendavid,"Twitter veteran, currently data @earnestresearch , previously operations research @cornell and biz dev @rumble_inc"
@AptsCostaBrava,Apts Costa Brava,
@iamslick,5LICK,"pronounced Slick. A Writer, Tech Analyst & Enthusiast. EIT @MESTAfrica | Featured on @usejournal | Featured on @BBC"
@femi_oluwatola,Oluwatola Oluwafemi,"Full stack web developer. EU3 student @Lambdaschool . Master of my fate, Captain of my soul."
@VikasRishishwar,Vikas Rishishwar,Techno/Commercial; Product @ http://classmonitor.com
@mattrepl,Matt Revelle,I’m happiest in the woods. A researcher in automated binary analysis with type theory and machine learning. I also model social community dynamics @GMUCompSci .
@myhumangetsme,Roccam's Occam Robots,
@Sophia61483536,Sophia,am very honest and kind in heart
@DCUSUS,DCU Start-Up Society,Entrepreneurship in Action
@OscarGalindoN,Oscar Galindo N,
@ayenisholah,Shola Ayeni,Gunner | Lover of Poetry | Clean Energy | Full Stack Web Developer
@Sippola,Sipp,Family 1st. LIFE. Brand/Social by day. Beyond that: inspiring people to #WalkTheWant & creating legacy @skyrockit . | AND?!
@AnkushChander,Ankush Chander,", , . building @raxter_io (We are hiring!)"
@NDominator,Brandon Beery,"Trine University Track and Field Alumni, Data Analyst, FeedTheCats, RPR Level 1"
@Zachery_99,shan dey,
@hybridconsnance,"Justin Hockey - Music Teacher, Father, Husband","Sing Better Songs: Everybody Wins When Everybody Sings. Good Musicians Listen, Sing, Compose & Play Also tweeting: @ABLE_Insights @GrowingMusical Leaders"
@rosshasnocleve1,Ross Has No Clever Friends,"Python Developer. #CSA survivor. I don't post here, this is my main account: @rossrochford"
@kpmorris,Kevin Morris,"SVP Product @Khoros (formerly Spredfast+Lithium). GLA to AUS via SFO. Husband, Daddy and Celtic man. All opinions my own"
@mchristo,stable genius,Mostly links.
@SlumdogCapital,Slumdog Capital,The People's Fund
@lomasjd,Jack M D Lomas,Strategic Development Lead @MottMacDonald // Co-founder @SenSat_ai // Board Director @CambWireless // You lose 100% of the shots you don't take
@paaYAW_8,Paa Yaw,Software Developer @DiverstInc | Ruby && JavaScript && Elixir | pencil artist
@pkyyz,pkyyz,Plan. Brief. Execute. Debrief. Repeat. (all opinions my own)
@SajjadThaika,Sajjuka,"Experimenting innovative ideas, advocates for Equality and Diversity :) Be kind to yourself, if you don't, who will?"
@Chattysalerton,Sally Chatterton,"Editor, UnHerd"
@kerry_edu,Kerry McDonald,Mom of 4. Author of UNSCHOOLED @ChiReviewPress . Senior Education Fellow @feeonline . Adjunct Scholar @CatoInstitute .
@voolproov,Oliver Vogelsang,I try to not make assumptions. The map is not the territory.
@MarkCancellieri,Mark Cancellieri,
@kingluis,Reynaldo A,
@timmelvin,Tim Melvin,"Asset based value investor. Writer. Book and baseball addict. And yes, you kids do need to get off my damn lawn"
@MRCyberW0lf,Maximus,"Anime-weeb, gamer, horror fan, computer nerd and student. Came for the friends, stayed for the anime titties. Likes/retweets≠endorsements"
@pvmatias,Pedro Valadão Matias,"Dad, developer @pdmfc and co-founder of @PT_Multimedia Curious, pragmatic and assertive. opinions are my own"
@BurakCendek,Burak Cendek,"Principal @autotechvc Ex- @revovc , @caltech BS, @ChicagoBooth MBA, #Startups, Quest for Consciousness"
@halbringman,Hal Bringman,whisperer. Not a certified scuba instructor. Live in Sausalito of #Seattle. Past @publicknowledge Dad of #husky http://instagram.com/chimmythehusky
@adambeachnau,Adam Beachnau,All the real benefits of life come from compound interest
@jroycroft_davis,James Roycroft-Davis,"Co-founder and CEO, WellPodz. Re-inventing how people lose weight without dieting"
@kriskhalil,Kris Khalil,Director of @neworleansbio and @NOLABioFund . Opinions are my own. #whodat #letsdance #LSU #Tulane
@mccallios,James McCall,Love agriculture and retired pipemover
@copiyo,Achieng' C O,Business development and marketing is my thing. Curious about ICT innovation and breakout ideas. Isaiah 43:19 Psalm 116:7
@JMSimonChi,Simon,All opinions are my own until I tire of them... #NoMoreGiants. #Chicagoan who sings in @bullyinhallway . Delusional Northwestern & DePaul Alum/Sports Fan.
@LarsenMarquardt,LJM,"in JS, React, Angular, Java. Let’s build"
@KeiverTremblay,Keiver,business development analyst at @SymendInc saving to write my first check @ucalgary formerly @apple @tesla @platformcalgary
@sadeceka,Kaan Akın,Founder @Hackquarters I help create future. Hustler. @GMFUS fellow #SXSWAccelerator
@JMblues83,J.R. Mannigel,Writer for http://stlouisgametime.com and sorta kinda contributor for @StLouisGameTime . Let's Go Blues.
@DivyaDugar_,Divya Dugar,"Content creator @ http://divyadugar.com - I write about productivity, mental models & books. Online Course Creator on Writing Healer & Tarot Card Reader"
@JulietTaLV2000,Juliet Tatum,"Love is a fabric which never fades, no matter how often it is washed in the water of adversity and grief."
@f_hansmann,Florian Hansmann,Learning to learn. Fan of film photography and road cycling
@argenisleon,Argenis Leon,Jack of all trades at @mood_agency | @iron_ai_ | creator and developer @hi_optimus | growing http://hi-bumblebee.com
@achemparathy,Arjun,"Writing code @shopvida , CPA turned full stack Software Engineer, ex-founder (http://driverji.com), ex-KPMG, Cal Alumni"
@KJ_Prince,KJ Prince,"Tweets about marketing // technology // design ------ Fly fishing, skiing, etc."
@LindseyBaltz,Lindsey Baltz,"@LambdaSchool career coach. Eclectic interests. Lover of career coaching, spicy food, craft beers, hiking, old buildings, dogs, & positivity."
@julien99,Julien Petit,"Startup Agent + scout + fixer = diagnostic-VC-compatibility, Mighty9, Mighty9 School, @BlendWebMix , @lacuisineduweb , @LaTourDuWeb #Lyon #Paris"
@jcwinter,Justin Winter,Christian Hedonist. Husband of @ALynneWinter . Co-founder & CEO @getboostopia  Prev. @diamondcandles
@AnneTolmie,Anne Tolmie,alumni @LambdaSchool | Account Manager @echobind | BCBA | Dog Mom | Rock Enthusiast | Backpacker | #womenwhocode
@carlosprallong,Carlos Prallong,Journalist in my early 40's. Very interested in politics and communications.
@menadio007,Ifiok Menadio.,Ifiok Udoidiok ||Software Engineer|| Javascript Developer|| Freelance Full Stack Developer @fiverr || Student @lambdaschool || IG: @menadio
@JonathanTerMeer,Jonathan TerMeer,#IMPINV | VP @TriLinc | #GoBonnies Alum | Dad of | Likes/RT ≠ Endorsements | Views Are Mine
@startupsPlow,Startups Plow,A new community for #StartUpCompanies with less noise & junk on @plowio . Follow for an invite to join our open beta!
@labian8,FABIAN COLLAZO,¡La Visión de la vida es como decides vivirla! COO @hatchstartups1
@UsBots,James Donovan,"Artist, designer, & inventor. Building a wearable game called Holovest by Us Robots. Currently designing @DroneDeploy . Previously @Oculuc , @Facebook , @Huffpost ."
@AdamHunke,Adam Hunke,"I like finance, economics, tech, politics, and Duke basketball."
@BernG,Bernard Guerrero,"Risk Manager, history enthusiast, would like to conquer the world with submarines. #NJ, #NY, #TX, #Rutgers, #NYU, #NYUStern, #ARNG, #Army, #Physics, #Econ"
@Jeff4_10,Jeff Fortin,self-aware enough to know i'm bad at twitter. lead west coast customer success team @Cuebiq . previously @Samba_TV .
@JackLeonardme,Jack Leonard,entrepreneur. fixer. obsessed with product. fascinated by human potential. have done things with @Keelvar @BBDO @tbwa @barricadeio
@SoCal_Javi,Javier Alvarez,I am a problem solver who loves to code. Actively looking for my next career puzzle to solve.
@kp_tweets,Ken Priyadarshi,CTO @EY_TAS #enterprise #multicloud #ai #graph #data #algorithms #blockchain #security #realtime #hpc #appliances #apps
@SteveLL1,Steve LL,
@GretchenManco,Gretchen J Manco,MechEng '20 | Connect on LinkedIn | Powered by Iced-Coffees + Spinach + Love | Engineering for Good | ENTJ | RT&Fav≠Endorse https://medium.com/@Gretch
@ShipFusion,ShipFusion,E-Commerce Fulfillment Solutions
@arunrafi,Arun Rafi,Observer http://medium.com/@arunrafi
@Sme__dude,Keyser Soze,
@wordygirl15,wordygirl15,"Excellence Coach | Writer, Speaker, Thought Leader | DE&I Practitioner | Conquistador of the lovely | Lambda School | The Auntie You Love + the Big Sis You Need"
@RLeeBradshaw,Lee Bradshaw,EVP at @noodle_partners .. formerly @2Uinc .. husband of Alexis .. friend of Bear. — I believe in higher ed.
@BinodHQ,Binod Shrestha,CxExp BizDev @decisiohealth | @Rice_Biz @ricealumni | @AorticTrauma | #DigitalHealth #MedTech #HealthTech #StrategicMarketing #UpstreamMarketing #Aorta #CVSurgery
@Abeebgold,Isola Abeeb Abiola,lifeofaprogrammer
@MoreWhees,MoreWhees,Open minded and free thinker. Recent behavior by democrats on a national level prevents me from supporting them in any way at this time.
@GustafKornias,Gustaf Kornias,A venturesome fella. Co-founder of http://fitpass.ro.
@MisaeRandy,MISAE RANDY,iam a nice girl looking for a man with love and care
@nniroc,Corinn Pope,Either out running or in heads down mode building my new product. Leave a message at the beep.
@atntbars,joe atkins,crushing quotas and beers
@maxmackey,max mackey,Growth Marketing @twitter . On the road with @biancaalexaruiz
@MatthieuPA,Matthieu PA,"VP Students Recruitment @Openclassrooms , building an online school, making education accessible | ex-Growth Marketer @Kapten , MBA alumn @INSEAD"
@luquidiaz,L,"Live to express, not to impress | Don’t trade long term happiness for short term pleasure"
@itsrahulio,Rahul Joshi,
@Vision_105,Vision,Just trying to learn
@JamesWi91376252,James William,CRYPTOCURRENCY INVESTMENT BINARY OPTION TRADING BITCOIN MINING MARKET EXPERT TRADING 24HOURS ACCURATE SIGNALS
@NikhaarShah,Nik Shah,Entrepreneur Investor @Steelers @ScuderiaFerrari @CarnegieMellon Prev: Investor @EYnews 23/61 US National Parks
@santafeinno,Santa Fe Innovates,Santa Fe Innovates - Launching soon to support socially responsible startups in #NewMexico and #SantaFe.
@timfrietas,Tim Frietas,"Product Manager, Search @MongoDB . Helping to keep the internet weird Past: @giphy , @digitalocean , @amazon"
@andy_chavezc,Andy Chavez,"CTO en Emprendible. Software Developer , Teacher . Kumara Lover Tengo un anciano por dentro."
@Everclyr,David Brown,"Science and Chemistry Teacher with @BrooksCompHS . Lover of #edtech, #gaming, #esports. BBA, B.Ed. Tweets are my own and do not represent views of my employer."
@crytpomaniac2,$crytpomaniac$,"Bullish on Cryptocurrencies, blockchain, and decentralization long term. Economics major! Bezant is going to change the world!"
@TRFitzpatrick,Tim Fitzpatrick,CEO @ikona_health [neuroscience + storytelling + immersive tech * data = better learning]. Previously: VA patient. Aspiring spaceman. Ad Astra Per Aspera!
@fordumieslikeme,Tim LeForge,Christ follower - developer: reactjs javascript c# html - Student of Gods Word.
@felipecepero,Felipe Cepero,Marketing @ Nudge Rewards
@itslaurenwagner,Lauren Wagner,overcaffeinated product person • building a platform to power the employee experience • @unc alum • buys magazines for the cover art
@Danorlandop,Daniel Orlando Peña,"Right thoughts, Right words, Right action."
@DimejiSmile,Èrín Dës Dev Poet,"... I am the sight to behold. The soul to cherish and hold. ... Do not be told. I am whole. I am You, your happy soul. Poet | Designer | Developer"
@nk_knownothing,चरैवेति चरैवेति,
@notlinear1,notlinear,skip the witty snark
@AJKemps,AJ,
@Kogelet,Vagram Sayadov,"Sharing thoughts and ideas on Forex, long-term trading, value investing, dividend stock ideas, ETFs, and REITs."
@joshuatodPRprof,"Josh Watson, Ph.D.",PR professor working at a private university in Oklahoma. Thoughts are my own. My profile name feels too stuffy.
@sandrosc_,Sandro,
@___izzoh___,Isaack MunguI,
@rudyferraz,Rudy Ferraz,"Dad, Race-Tech-Audio-Astro Geek, Serial Entrepretunist, CEO @ http://OneCarPayment.com YCombinator/SS 2019"
@ericgitubia,Eric Gitubia,Founder Carpe Diem Consultancy | A Change Agent | Focus on Leadership and Community Development (Africa) | Renaissance of the Man | #theFirePit
@Akjain7353,Akshat Jain,"Bentley University '19. : HYD, BOS. Working my way to VC. GGMU #keephustling."
@Tommyleecoleman,Tommy Lee Coleman,Web Development Student @ Lambda School
@YashwantM,Yash,"Dad to 2 boys and a hungry beagle. Forgetful husband. Founder @FyleHQ and sworn enemy of expense reports. Early Sales Rep at Qubole, Capillarytech, and WebEx."
@julltron,Joel,
@JustinKearns00,Justin Kearns,"I'm co-founder of @Tucr_ + @WeddingWallet_ and a business trainer/adviser/consultant who is happiest when innovating, learning and growing."
@thepmlibrary,The PM Library,"Our goal is to inspire you with the best PM, UX, Tech and Leadership books out there. Made for product people."
@sebidscap,sebidscap,I'm Sebids. I invest capital to make it less scarce for everyone.
@sampatankar,soylentsam,
@_nebe_,N.,https://github.com/Dev-Nebe
@Saiffuddin_A,Saifuddin Ahmed,
@MeesJeddi,Jeddi,a weekly newsletter done by entrepreneurs for entrepreneurs http://howeverythingstarted.carrd.co
@AndrewKachnic,Andrew Kachnic,"”Some people are alive only, because it’s illegal to kill them ”| i follow back"
@sonja,Sonja Jacob,Leading content marketing @AppDynamics Previously @Drift @Mattermark @Zenefits @HubSpot
@AMurphyValinor,Andrew Murphy,"Co-Founder & Chairman Robotify | Director HealthXL | Exec Director Erisbeg | Edtech, Robotics | Digital Health | Innovation"
@AdebiyiAL,Adebiyi Adedotun Lukman,"Caught In The WEB, breaking things; learning fast."
@LambdaInIndia,Is Lambda School in India yet?,Is Lambda School in India Yet? Created and maintained by a future Lambda student. Inspired from @lambdaincanada
@AllenSaakyan,Allen Nuance Saakyan,We are The ONE Becoming More ALIVE Synthesizing Science & Spirituality Interviewing the Greatest Minds http://simulationseries.com
@alisonludick,AlisonLudick,"@awscloud , aspiring developer, student @Lambdaschool , qualified life coach, lover of all expressions of creativity; track my coding journey here"
